sample_id,animal_id,teaching_class,source_label,label_id,start_unixtime,end_unixtime,start_datetime,end_datetime,sampling_rate_hz,window_points,source_acceleration_csv,source_feature_csv
OM-000001,OM1803,stationary,stationary,200,1536442865.0,1536442866.96,2018-09-08 21:41:05.000,2018-09-08 21:41:06.960,25,50,data\datasets\preprocessed_data\omizunagidori\OM1803.csv,data\datasets\logbot_data\feature_extraction\acc_features\omizunagidori\OM1803.csv
OM-000002,OM1803,stationary,stationary,200,1536442866.0,1536442867.96,2018-09-08 21:41:06.000,2018-09-08 21:41:07.960,25,50,data\datasets\preprocessed_data\omizunagidori\OM1803.csv,data\datasets\logbot_data\feature_extraction\acc_features\omizunagidori\OM1803.csv
OM-000003,OM1803,stationary,stationary,200,1536442867.0,1536442868.96,2018-09-08 21:41:07.000,2018-09-08 21:41:08.960,25,50,data\datasets\preprocessed_data\omizunagidori\OM1803.csv,data\datasets\logbot_data\feature_extraction\acc_features\omizunagidori\OM1803.csv
OM-000004,OM1803,stationary,stationary,200,1536442868.0,1536442869.96,2018-09-08 21:41:08.000,2018-09-08 21:41:09.960,25,50,data\datasets\preprocessed_data\omizunagidori\OM1803.csv,data\datasets\logbot_data\feature_extraction\acc_features\omizunagidori\OM1803.csv
OM-000005,OM1803,stationary,stationary,200,1536442869.0,1536442870.96,2018-09-08 21:41:09.000,2018-09-08 21:41:10.960,25,50,data\datasets\preprocessed_data\omizunagidori\OM1803.csv,data\datasets\logbot_data\feature_extraction\acc_features\omizunagidori\OM1803.csv
OM-000006,OM1803,stationary,stationary,200,1536442870.0,1536442871.96,2018-09-08 21:41:10.000,2018-09-08 21:41:11.960,25,50,data\datasets\preprocessed_data\omizunagidori\OM1803.csv,data\datasets\logbot_data\feature_extraction\acc_features\omizunagidori\OM1803.csv
OM-000007,OM1803,stationary,stationary,200,1536442871.0,1536442872.96,2018-09-08 21:41:11.000,2018-09-08 21:41:12.960,25,50,data\datasets\preprocessed_data\omizunagidori\OM1803.csv,data\datasets\logbot_data\feature_extraction\acc_features\omizunagidori\OM1803.csv
OM-000008,OM1803,stationary,stationary,200,1536442872.0,1536442873.96,2018-09-08 21:41:12.000,2018-09-08 21:41:13.960,25,50,data\datasets\preprocessed_data\omizunagidori\OM1803.csv,data\datasets\logbot_data\feature_extraction\acc_features\omizunagidori\OM1803.csv
OM-000009,OM1803,stationary,stationary,200,1536442873.0,1536442874.96,2018-09-08 21:41:13.000,2018-09-08 21:41:14.960,25,50,data\datasets\preprocessed_data\omizunagidori\OM1803.csv,data\datasets\logbot_data\feature_extraction\acc_features\omizunagidori\OM1803.csv
OM-000010,OM1803,stationary,stationary,200,1536442874.0,1536442875.96,2018-09-08 21:41:14.000,2018-09-08 21:41:15.960,25,50,data\datasets\preprocessed_data\omizunagidori\OM1803.csv,data\datasets\logbot_data\feature_extraction\acc_features\omizunagidori\OM1803.csv
OM-000011,OM1803,stationary,stationary,200,1536442875.0,1536442876.96,2018-09-08 21:41:15.000,2018-09-08 21:41:16.960,25,50,data\datasets\preprocessed_data\omizunagidori\OM1803.csv,data\datasets\logbot_data\feature_extraction\acc_features\omizunagidori\OM1803.csv
OM-000012,OM1803,stationary,stationary,200,1536442876.0,1536442877.96,2018-09-08 21:41:16.000,2018-09-08 21:41:17.960,25,50,data\datasets\preprocessed_data\omizunagidori\OM1803.csv,data\datasets\logbot_data\feature_extraction\acc_features\omizunagidori\OM1803.csv
OM-000013,OM1803,stationary,stationary,200,1536442877.0,1536442878.96,2018-09-08 21:41:17.000,2018-09-08 21:41:18.960,25,50,data\datasets\preprocessed_data\omizunagidori\OM1803.csv,data\datasets\logbot_data\feature_extraction\acc_features\omizunagidori\OM1803.csv
OM-000014,OM1803,stationary,stationary,200,1536442878.0,1536442879.96,2018-09-08 21:41:18.000,2018-09-08 21:41:19.960,25,50,data\datasets\preprocessed_data\omizunagidori\OM1803.csv,data\datasets\logbot_data\feature_extraction\acc_features\omizunagidori\OM1803.csv
OM-000015,OM1803,stationary,stationary,200,1536442879.0,1536442880.96,2018-09-08 21:41:19.000,2018-09-08 21:41:20.960,25,50,data\datasets\preprocessed_data\omizunagidori\OM1803.csv,data\datasets\logbot_data\feature_extraction\acc_features\omizunagidori\OM1803.csv
OM-000016,OM1803,stationary,stationary,200,1536442880.0,1536442881.96,2018-09-08 21:41:20.000,2018-09-08 21:41:21.960,25,50,data\datasets\preprocessed_data\omizunagidori\OM1803.csv,data\datasets\logbot_data\feature_extraction\acc_features\omizunagidori\OM1803.csv
OM-000017,OM1803,stationary,stationary,200,1536442881.0,1536442882.96,2018-09-08 21:41:21.000,2018-09-08 21:41:22.960,25,50,data\datasets\preprocessed_data\omizunagidori\OM1803.csv,data\datasets\logbot_data\feature_extraction\acc_features\omizunagidori\OM1803.csv
OM-000018,OM1803,stationary,stationary,200,1536442882.0,1536442883.96,2018-09-08 21:41:22.000,2018-09-08 21:41:23.960,25,50,data\datasets\preprocessed_data\omizunagidori\OM1803.csv,data\datasets\logbot_data\feature_extraction\acc_features\omizunagidori\OM1803.csv
OM-000019,OM1803,stationary,stationary,200,1536442883.0,1536442884.96,2018-09-08 21:41:23.000,2018-09-08 21:41:24.960,25,50,data\datasets\preprocessed_data\omizunagidori\OM1803.csv,data\datasets\logbot_data\feature_extraction\acc_features\omizunagidori\OM1803.csv
OM-000020,OM1803,stationary,stationary,200,1536442884.0,1536442885.96,2018-09-08 21:41:24.000,2018-09-08 21:41:25.960,25,50,data\datasets\preprocessed_data\omizunagidori\OM1803.csv,data\datasets\logbot_data\feature_extraction\acc_features\omizunagidori\OM1803.csv
OM-000021,OM1803,stationary,stationary,200,1536442885.0,1536442886.96,2018-09-08 21:41:25.000,2018-09-08 21:41:26.960,25,50,data\datasets\preprocessed_data\omizunagidori\OM1803.csv,data\datasets\logbot_data\feature_extraction\acc_features\omizunagidori\OM1803.csv
OM-000022,OM1803,stationary,stationary,200,1536442886.0,1536442887.96,2018-09-08 21:41:26.000,2018-09-08 21:41:27.960,25,50,data\datasets\preprocessed_data\omizunagidori\OM1803.csv,data\datasets\logbot_data\feature_extraction\acc_features\omizunagidori\OM1803.csv
OM-000023,OM1803,stationary,stationary,200,1536442887.0,1536442888.96,2018-09-08 21:41:27.000,2018-09-08 21:41:28.960,25,50,data\datasets\preprocessed_data\omizunagidori\OM1803.csv,data\datasets\logbot_data\feature_extraction\acc_features\omizunagidori\OM1803.csv
OM-000024,OM1803,stationary,stationary,200,1536442888.0,1536442889.96,2018-09-08 21:41:28.000,2018-09-08 21:41:29.960,25,50,data\datasets\preprocessed_data\omizunagidori\OM1803.csv,data\datasets\logbot_data\feature_extraction\acc_features\omizunagidori\OM1803.csv
OM-000025,OM1803,stationary,stationary,200,1536442889.0,1536442890.96,2018-09-08 21:41:29.000,2018-09-08 21:41:30.960,25,50,data\datasets\preprocessed_data\omizunagidori\OM1803.csv,data\datasets\logbot_data\feature_extraction\acc_features\omizunagidori\OM1803.csv
OM-000026,OM1803,stationary,stationary,200,1536442890.0,1536442891.96,2018-09-08 21:41:30.000,2018-09-08 21:41:31.960,25,50,data\datasets\preprocessed_data\omizunagidori\OM1803.csv,data\datasets\logbot_data\feature_extraction\acc_features\omizunagidori\OM1803.csv
OM-000027,OM1803,stationary,stationary,200,1536442891.0,1536442892.96,2018-09-08 21:41:31.000,2018-09-08 21:41:32.960,25,50,data\datasets\preprocessed_data\omizunagidori\OM1803.csv,data\datasets\logbot_data\feature_extraction\acc_features\omizunagidori\OM1803.csv
OM-000028,OM1803,stationary,stationary,200,1536442892.0,1536442893.96,2018-09-08 21:41:32.000,2018-09-08 21:41:33.960,25,50,data\datasets\preprocessed_data\omizunagidori\OM1803.csv,data\datasets\logbot_data\feature_extraction\acc_features\omizunagidori\OM1803.csv
OM-000029,OM1803,stationary,stationary,200,1536442893.0,1536442894.96,2018-09-08 21:41:33.000,2018-09-08 21:41:34.960,25,50,data\datasets\preprocessed_data\omizunagidori\OM1803.csv,data\datasets\logbot_data\feature_extraction\acc_features\omizunagidori\OM1803.csv
OM-000030,OM1803,stationary,stationary,200,1536442894.0,1536442895.96,2018-09-08 21:41:34.000,2018-09-08 21:41:35.960,25,50,data\datasets\preprocessed_data\omizunagidori\OM1803.csv,data\datasets\logbot_data\feature_extraction\acc_features\omizunagidori\OM1803.csv
OM-000031,OM1803,stationary,stationary,200,1536442895.0,1536442896.96,2018-09-08 21:41:35.000,2018-09-08 21:41:36.960,25,50,data\datasets\preprocessed_data\omizunagidori\OM1803.csv,data\datasets\logbot_data\feature_extraction\acc_features\omizunagidori\OM1803.csv
OM-000032,OM1803,stationary,stationary,200,1536442896.0,1536442897.96,2018-09-08 21:41:36.000,2018-09-08 21:41:37.960,25,50,data\datasets\preprocessed_data\omizunagidori\OM1803.csv,data\datasets\logbot_data\feature_extraction\acc_features\omizunagidori\OM1803.csv
OM-000033,OM1803,stationary,stationary,200,1536442897.0,1536442898.96,2018-09-08 21:41:37.000,2018-09-08 21:41:38.960,25,50,data\datasets\preprocessed_data\omizunagidori\OM1803.csv,data\datasets\logbot_data\feature_extraction\acc_features\omizunagidori\OM1803.csv
OM-000034,OM1803,stationary,stationary,200,1536442898.0,1536442899.96,2018-09-08 21:41:38.000,2018-09-08 21:41:39.960,25,50,data\datasets\preprocessed_data\omizunagidori\OM1803.csv,data\datasets\logbot_data\feature_extraction\acc_features\omizunagidori\OM1803.csv
OM-000035,OM1803,stationary,stationary,200,1536442899.0,1536442900.96,2018-09-08 21:41:39.000,2018-09-08 21:41:40.960,25,50,data\datasets\preprocessed_data\omizunagidori\OM1803.csv,data\datasets\logbot_data\feature_extraction\acc_features\omizunagidori\OM1803.csv
OM-000036,OM1803,stationary,stationary,200,1536442900.0,1536442901.96,2018-09-08 21:41:40.000,2018-09-08 21:41:41.960,25,50,data\datasets\preprocessed_data\omizunagidori\OM1803.csv,data\datasets\logbot_data\feature_extraction\acc_features\omizunagidori\OM1803.csv
OM-000037,OM1803,stationary,stationary,200,1536442901.0,1536442902.96,2018-09-08 21:41:41.000,2018-09-08 21:41:42.960,25,50,data\datasets\preprocessed_data\omizunagidori\OM1803.csv,data\datasets\logbot_data\feature_extraction\acc_features\omizunagidori\OM1803.csv
OM-000038,OM1803,stationary,stationary,200,1536442902.0,1536442903.96,2018-09-08 21:41:42.000,2018-09-08 21:41:43.960,25,50,data\datasets\preprocessed_data\omizunagidori\OM1803.csv,data\datasets\logbot_data\feature_extraction\acc_features\omizunagidori\OM1803.csv
OM-000039,OM1803,stationary,stationary,200,1536442903.0,1536442904.96,2018-09-08 21:41:43.000,2018-09-08 21:41:44.960,25,50,data\datasets\preprocessed_data\omizunagidori\OM1803.csv,data\datasets\logbot_data\feature_extraction\acc_features\omizunagidori\OM1803.csv
OM-000040,OM1803,stationary,stationary,200,1536442904.0,1536442905.96,2018-09-08 21:41:44.000,2018-09-08 21:41:45.960,25,50,data\datasets\preprocessed_data\omizunagidori\OM1803.csv,data\datasets\logbot_data\feature_extraction\acc_features\omizunagidori\OM1803.csv
OM-000041,OM1803,stationary,stationary,200,1536442905.0,1536442906.96,2018-09-08 21:41:45.000,2018-09-08 21:41:46.960,25,50,data\datasets\preprocessed_data\omizunagidori\OM1803.csv,data\datasets\logbot_data\feature_extraction\acc_features\omizunagidori\OM1803.csv
OM-000042,OM1803,stationary,stationary,200,1536442906.0,1536442907.96,2018-09-08 21:41:46.000,2018-09-08 21:41:47.960,25,50,data\datasets\preprocessed_data\omizunagidori\OM1803.csv,data\datasets\logbot_data\feature_extraction\acc_features\omizunagidori\OM1803.csv
OM-000043,OM1803,stationary,stationary,200,1536442907.0,1536442908.96,2018-09-08 21:41:47.000,2018-09-08 21:41:48.960,25,50,data\datasets\preprocessed_data\omizunagidori\OM1803.csv,data\datasets\logbot_data\feature_extraction\acc_features\omizunagidori\OM1803.csv
OM-000044,OM1803,stationary,stationary,200,1536442908.0,1536442909.96,2018-09-08 21:41:48.000,2018-09-08 21:41:49.960,25,50,data\datasets\preprocessed_data\omizunagidori\OM1803.csv,data\datasets\logbot_data\feature_extraction\acc_features\omizunagidori\OM1803.csv
OM-000045,OM1803,stationary,stationary,200,1536442909.0,1536442910.96,2018-09-08 21:41:49.000,2018-09-08 21:41:50.960,25,50,data\datasets\preprocessed_data\omizunagidori\OM1803.csv,data\datasets\logbot_data\feature_extraction\acc_features\omizunagidori\OM1803.csv
OM-000046,OM1803,stationary,stationary,200,1536442910.0,1536442911.96,2018-09-08 21:41:50.000,2018-09-08 21:41:51.960,25,50,data\datasets\preprocessed_data\omizunagidori\OM1803.csv,data\datasets\logbot_data\feature_extraction\acc_features\omizunagidori\OM1803.csv
