features,importances
acc_x_mean,0.0017885865
acc_y_mean,0.0015107045
acc_z_mean,0.026829323
acc_x_var,0.0027584587
acc_y_var,0.0024292187
acc_z_var,0.0031229036
acc_x_std,0.0015838996
acc_y_std,0.00094659475
acc_z_std,0.0037384192
acc_x_cv,0.002092312
acc_y_cv,0.0030396685
acc_z_cv,0.0011711057
acc_x_skew,0.0007241985
acc_y_skew,0.0006463757
acc_z_skew,0.0009647371
acc_x_kurtosis,0.0021183526
acc_y_kurtosis,0.0010981349
acc_z_kurtosis,0.0026350191
acc_x_max,0.002108643
acc_y_max,0.0016817264
acc_z_max,0.04268093
acc_x_min,0.0014507995
acc_y_min,0.0019323388
acc_z_min,0.040123973
acc_x_range,0.0117514115
acc_y_range,0.0039066365
acc_z_range,0.0037775128
acc_x_q25,0.0023877064
acc_y_q25,0.0051829712
acc_z_q25,0.013962623
acc_x_q50,0.002942414
acc_y_q50,0.0011737316
acc_z_q50,0.0024233516
acc_x_q75,0.0060192286
acc_y_q75,0.0020665682
acc_z_q75,0.008289271
mag_mean,0.0018458107
mag_var,0.00153702
mag_skew,0.002513014
mag_kurtosis,0.0012561332
mag_rms,0.0035971715
acc_x_norm,0.0041366303
acc_y_norm,0.0061111306
acc_z_norm,0.019107828
acc_x_ac,0.011309316
acc_y_ac,0.006018111
acc_z_ac,0.0119957235
acc_x_trend,0.0008959338
acc_y_trend,0.00057918014
acc_z_trend,0.00055273314
mag_trend,0.00070560357
cov_xy,0.0013650645
cov_yz,0.018443743
cov_zx,0.014394742
corr_xy,0.0016407724
corr_yz,0.0026950596
corr_zx,0.003356904
diff_xy_mean,0.0024163402
diff_yz_mean,0.0013623129
diff_zx_mean,0.0047136233
diff_xy_std,0.002057524
diff_yz_std,0.0037396236
diff_zx_std,0.006394829
acc_x_st_mean,0.0015602689
acc_y_st_mean,0.0031662565
acc_z_st_mean,0.0074679498
acc_x_st_var,0.0064284806
acc_y_st_var,0.0011773787
acc_z_st_var,0.0019323663
pitch_mean,0.0018700003
pitch_var,0.040685605
roll_mean,0.0031517157
roll_var,0.042648688
acc_x_dy_mean,0.0012392236
acc_y_dy_mean,0.0008021374
acc_z_dy_mean,0.0015402356
acc_x_dy_var,0.0021706738
acc_y_dy_var,0.0048673316
acc_z_dy_var,0.0024797132
acc_x_dy_max,0.0022859264
acc_y_dy_max,0.0013625277
acc_z_dy_max,0.002346996
acc_x_PDBA_mean,0.002463173
acc_y_PDBA_mean,0.0014803271
acc_z_PDBA_mean,0.0014862885
ODBA_mean,0.0034502668
ODBA_var,0.012122242
ODBA_max,0.00051488954
VeDBA_mean,0.10337754
VeDBA_var,0.10782414
VeDBA_max,0.0007776035
VeDBA_s_mean,0.00032400497
x_ratio_VeDBA_to_PDBA_mean,0.00087510183
y_ratio_VeDBA_to_PDBA_mean,0.0010727423
z_ratio_VeDBA_to_PDBA_mean,0.002503406
acc_x_dcp_mean,0.17354196
acc_y_dcp_mean,0.023593802
acc_z_dcp_mean,0.034636717
acc_x_dcp_std,0.002743929
acc_y_dcp_std,0.0018245173
acc_z_dcp_std,0.0014275195
acc_x_main_freq_1,0.0030616925
acc_x_main_amp_1,0.0008268349
acc_x_main_psd_1,0.0042758635
acc_x_main_freq_2,0.0027259155
acc_x_main_amp_2,0.0013005032
acc_x_main_psd_2,0.003955947
acc_y_main_freq_1,0.0020272338
acc_y_main_amp_1,0.0010195064
acc_y_main_psd_1,0.0021044614
acc_y_main_freq_2,0.0034560156
acc_y_main_amp_2,0.0019308975
acc_y_main_psd_2,0.0034463517
acc_z_main_freq_1,0.008031437
acc_z_main_amp_1,0.0013805882
acc_z_main_psd_1,0.0017682227
acc_z_main_freq_2,0.0029519242
acc_z_main_amp_2,0.0011117186
acc_z_main_psd_2,0.0015994494
acc_x_mean,0.009713606
acc_y_mean,0.0023946178
acc_z_mean,0.0011548229
acc_x_var,0.0021705956
acc_y_var,0.00082791306
acc_z_var,0.0024959582
acc_x_std,0.0031849798
acc_y_std,0.0051148636
acc_z_std,0.00464626
acc_x_cv,0.002596855
acc_y_cv,0.0036779414
acc_z_cv,0.018858314
acc_x_skew,0.0010705163
acc_y_skew,0.0006120258
acc_z_skew,0.0014339248
acc_x_kurtosis,0.0024570676
acc_y_kurtosis,0.0014374872
acc_z_kurtosis,0.0031627994
acc_x_max,0.0022695335
acc_y_max,0.0016638854
acc_z_max,0.052242693
acc_x_min,0.0017712628
acc_y_min,0.0019617558
acc_z_min,0.030419758
acc_x_range,0.0012633699
acc_y_range,0.0034474956
acc_z_range,0.0025364496
acc_x_q25,0.004940785
acc_y_q25,0.007462218
acc_z_q25,0.010008157
acc_x_q50,0.0031831309
acc_y_q50,0.002103601
acc_z_q50,0.0032168268
acc_x_q75,0.0113878
acc_y_q75,0.0021413157
acc_z_q75,0.0027827064
mag_mean,0.0027143012
mag_var,0.0019304041
mag_skew,0.0020889074
mag_kurtosis,0.00085476233
mag_rms,0.0009484651
acc_x_norm,0.0040655406
acc_y_norm,0.0032698023
acc_z_norm,0.016703205
acc_x_ac,0.013334435
acc_y_ac,0.005300009
acc_z_ac,0.015637947
acc_x_trend,0.0009517978
acc_y_trend,0.000849103
acc_z_trend,0.00064572337
mag_trend,0.0012240369
cov_xy,0.0022717717
cov_yz,0.021761807
cov_zx,0.016334482
corr_xy,0.0014596713
corr_yz,0.0040348484
corr_zx,0.002957694
diff_xy_mean,0.0059985663
diff_yz_mean,0.003665052
diff_zx_mean,0.005139297
diff_xy_std,0.0018279391
diff_yz_std,0.0023671885
diff_zx_std,0.011122623
acc_x_st_mean,0.0041323705
acc_y_st_mean,0.004375636
acc_z_st_mean,0.008575001
acc_x_st_var,0.00545028
acc_y_st_var,0.0016492519
acc_z_st_var,0.003396474
pitch_mean,0.0014718301
pitch_var,0.04758347
roll_mean,0.0047933897
roll_var,0.051392127
acc_x_dy_mean,0.0014416295
acc_y_dy_mean,0.0015803974
acc_z_dy_mean,0.0017499869
acc_x_dy_var,0.001954467
acc_y_dy_var,0.005042385
acc_z_dy_var,0.0033012703
acc_x_dy_max,0.0017219887
acc_y_dy_max,0.0025278595
acc_z_dy_max,0.004734717
acc_x_PDBA_mean,0.0026727393
acc_y_PDBA_mean,0.0019008924
acc_z_PDBA_mean,0.0014076314
ODBA_mean,0.00434454
ODBA_var,0.009011051
ODBA_max,0.0006400447
VeDBA_mean,0.05756348
VeDBA_var,0.06554101
VeDBA_max,0.0011893217
VeDBA_s_mean,0.0024640195
x_ratio_VeDBA_to_PDBA_mean,0.001133164
y_ratio_VeDBA_to_PDBA_mean,0.0017855903
z_ratio_VeDBA_to_PDBA_mean,0.0019744034
acc_x_dcp_mean,0.14268288
acc_y_dcp_mean,0.02579664
acc_z_dcp_mean,0.076447025
acc_x_dcp_std,0.0138165895
acc_y_dcp_std,0.001985638
acc_z_dcp_std,0.0017636506
acc_x_main_freq_1,0.004684095
acc_x_main_amp_1,0.002607949
acc_x_main_psd_1,0.0036528136
acc_x_main_freq_2,0.0028066891
acc_x_main_amp_2,0.0012290719
acc_x_main_psd_2,0.0017329851
acc_y_main_freq_1,0.0036784604
acc_y_main_amp_1,0.0020430137
acc_y_main_psd_1,0.013685027
acc_y_main_freq_2,0.0028706815
acc_y_main_amp_2,0.0013797644
acc_y_main_psd_2,0.006709819
acc_z_main_freq_1,0.008700134
acc_z_main_amp_1,0.0032917073
acc_z_main_psd_1,0.002311245
acc_z_main_freq_2,0.0034979547
acc_z_main_amp_2,0.0010572108
acc_z_main_psd_2,0.0017938237
acc_x_mean,0.004918667
acc_y_mean,0.0027957268
acc_z_mean,0.008408437
acc_x_var,0.002236469
acc_y_var,0.0008849656
acc_z_var,0.004332038
acc_x_std,0.0013016711
acc_y_std,0.005128133
acc_z_std,0.005778478
acc_x_cv,0.002697886
acc_y_cv,0.0025620803
acc_z_cv,0.0014439382
acc_x_skew,0.0007273474
acc_y_skew,0.00086877315
acc_z_skew,0.0015380795
acc_x_kurtosis,0.0024264217
acc_y_kurtosis,0.0013793255
acc_z_kurtosis,0.0013563674
acc_x_max,0.0021665716
acc_y_max,0.0020103208
acc_z_max,0.042597428
acc_x_min,0.0018856806
acc_y_min,0.0027889204
acc_z_min,0.026101742
acc_x_range,0.0021007597
acc_y_range,0.0013686335
acc_z_range,0.0046910993
acc_x_q25,0.0022515096
acc_y_q25,0.00768389
acc_z_q25,0.024737448
acc_x_q50,0.0046391594
acc_y_q50,0.0024201404
acc_z_q50,0.0051718694
acc_x_q75,0.009217844
acc_y_q75,0.0015228341
acc_z_q75,0.0033547245
mag_mean,0.0019621272
mag_var,0.0014551339
mag_skew,0.003026004
mag_kurtosis,0.00064372976
mag_rms,0.0014731089
acc_x_norm,0.0040920665
acc_y_norm,0.0038963037
acc_z_norm,0.0041926075
acc_x_ac,0.016553877
acc_y_ac,0.0067142877
acc_z_ac,0.013183925
acc_x_trend,0.0007197777
acc_y_trend,0.0006365457
acc_z_trend,0.001071155
mag_trend,0.0013499863
cov_xy,0.0008776663
cov_yz,0.012533625
cov_zx,0.021568378
corr_xy,0.0013836981
